channel,range_max,range_min,mean,variance,std_dev,range_size
ch_63,47744.0,26676.0,31480.295,66502450.0,8154.9033,21068.0
ch_64,64.0,-4.0,23.745674,433.44168,20.819262,68.0
ch_65,548682800000000.0,548682800000000.0,548208150000000.0,2.6020107e+26,16130749000000.0,0.0
ch_66,1102273000000.0,1102273000000.0,1101319800000.0,1.0501335e+21,32405764000.0,0.0
ch_67,0,0,0,0,0,0
ch_68,45952.0,-16896.0,14495.004,248717820.0,15770.79,62848.0
ch_69,8166.4,7347.2,7903.494,114243.05,337.9986,819.1997
ch_7,21384.0,10296.0,17604.016,13365190.0,3655.8433,11088.0
ch_70,4326.4,3456.0,3818.5376,74433.14,272.82437,870.3999
ch_71,533647360000.0,533647360000.0,533185820000.0,2.4613599e+20,15688721000.0,0.0
ch_72,0,0,0,0,0,0
ch_73,0,0,0,0,0,0
ch_74,-16384.0,-16384.0,-16367.465,270638.94,520.2297,0.0
ch_75,127.98056,126.93759,127.32558,9.377626,3.0622911,1.0429688
ch_76,1280.0,1280.0,1239.4371,20398.41,142.823,0.0
ch_77,0.0,0.0,97.531715,52907.855,230.01707,0.0
ch_78,512.0,512.0,511.04037,490.41006,22.145205,0.0
ch_79,0,0,0,0,0,0
ch_8,128.0,128.0,127.76009,30.650629,5.536301,0.0
ch_80,0,0,0,0,0,0
ch_81,896.0,896.0,757.77625,104742.69,323.63974,0.0
ch_82,4096.0,4096.0,4088.323,31386.244,177.16164,0.0
ch_83,256.0,256.0,255.52019,122.602516,11.072602,0.0
ch_84,-2494.0,-3400.0,-2770.2815,99750.23,315.83258,906.0
ch_85,3968.0,3968.0,3959.4187,33977.023,184.32857,0.0
ch_86,4480.0,4480.0,4470.3115,43310.96,208.11285,0.0
ch_87,851.0,582.0,756.67865,8942.46,94.56458,269.0
ch_88,39.22739,38.37632,38.38395,3.2460318,1.8016747,0.8510704
ch_89,1152.0,1152.0,1150.5052,1719.7866,41.47031,0.0
ch_9,12716.0,12712.0,12692.027,302490.56,549.9914,4.0
ch_90,2688.0,768.0,1780.0969,267832.44,517.5253,1920.0
ch_91,1664.0,-1088.0,276.69205,501391.34,708.0899,2752.0
ch_92,0,0,0,0,0,0
ch_93,25.128923,19.609388,23.158747,3.1986003,1.7884631,5.519535
ch_94,512.0,512.0,516.2445,6737.7866,82.08402,0.0
ch_95,34368.0,20920.0,24703.363,23385998.0,4835.907,13448.0
ch_96,40416.0,0.0,5520.6646,305451800.0,17477.18,40416.0
ch_97,2560.0,2560.0,2556.309,9435.051,97.134186,0.0
ch_98,128000.0,0.0,108222.375,3225112600.0,56790.074,128000.0
ch_99,7292.0,6612.0,7165.053,142581.95,377.60025,680.0
